TailorSend Financial Model - ASSUMPTIONS (Michigan SBDC · NVC-style · $25K ask)
Variable,Value,Unit,Notes
Ask (grant / award / seed support),25000,USD,Y1 cash source — primary raise
Owner personal investment,0,USD,Sweat equity; cash ask is $25K
Outside equity / VC,0,USD,Not seeking venture capital
Loans,0,USD,No debt modeled
Starting cash,0,USD,Working capital before Y1 ask receipt
Tax rate,25,%,Applied to annual pre-tax cash profit when positive
,,,
I. REVENUE DRIVERS,,,
Paying users EOY Y1-Y5,24 | 95 | 280 | 700 | 1500,,Cumulative end-of-year paid customers
Campus partnerships Y1-Y5,1 | 3 | 6 | 12 | 20,,MI schools then regional expansion
Blended ARPU,12,USD/mo,Mix of Campus $5 / Monthly $9.99 / Yearly $89.99 / Sprint $29.99
Student Monthly price,9.99,USD/mo,25 kits/mo primary MRR
Campus pack,5,USD,8 kits one-time
Sprint pack,29.99,USD,25 kits one-time
,,,
UNIT ECONOMICS (COGS),,,
COGS per kit,0.18,USD,OpenAI + variable hosting
Stripe fee rate,0.029,,
Gross margin target,76-80,% ,Pure SaaS — no inventory
,,,
$25K ASK — USE OF FUNDS,,,
Platform hosting & AI runway,6000,USD,Railway Postgres OpenAI buffer
Campus demo & sales materials,4000,USD,Career center kits demos
Student ambassador expansion,4000,USD,CMU U-M MSU pilots
Platform hardening & compliance,3000,USD,Security reliability
Legal contracts & entity,2000,USD,LLC terms privacy
Marketing & campus GTM,4000,USD,Organic SEO ambassador ads
Runway buffer,2000,USD,Operating contingency
Ask total,25000,USD,
,,,
GROWTH LOGIC,,,
Y1,Michigan validate,,"~300 registered · 24 paying · $336 MRR · $25K ask bridge"
Y2,Regional proof,,2–3 campus partnerships · SBDC GTM
Y3,Multi-state brand,,Student Monthly scale
Y4,SaaS brand,,700 paying · founder salary scales
Y5,National floor,,1500 paying · first staff hire
,,,
EXCLUDED UPSIDE,,,
Enterprise API,excluded,,
B2B campus site licenses,excluded,,
Employer recruiting seats,excluded,,
International expansion,excluded,,
